Comment,Abusive
Em telsukokunda enduku poinav ra aatulu peekanika,2.0
Madda neeku gaka ochindi prathi sari Ade chepi dobbutav entra babu,2.0
Nivue erra b ayavu maku mundhe telusu raaa babu ekadikeli vastharu raa meeru antha,2.0
Skandha Ni bonda,2.0
Yeripushpam pulse,2.0
Actually That dialogue is Na gudda Anna dengu anna,2.0
Na gudda anna dengu anna,2.0
Mod good chi poindira babu,2.0
Rotte gaadi doilog gurthosthundhi,2.0
Guda echeyali anthe maya,2.0
Bye bye Tata Telangana pappu,2.0
Ee lanjodku mana state ki cm ayyi baguparuathadata Microsoft office Ida pettale ani vallu vasthe veedu Anand Mahindra garu meeku congratulations antadu,2.0
Telangana Pappu,2.0
Potti na koduku,2.0
Elanti valani nammi support chese ninja kodukulani cheppu tho kottali elanti valu deshane mogga gudupu tharu jai Telangana and please think twice before you vote and jai Telangana,2.0
Papu kadhu edu erri papu,2.0
Vedu e over action ke moddala gudustadu,2.0
chesi 10gavu kada ra,2.0
Hyper adi to u sekhar dialogue        ,2.0
Ni fans ni sulli kostha ani antunaru anna,2.0
Mothaniki moddagaadu saadhinchaadu,2.0
jabardast kudaa modda varake pothadi,2.0
Etla ithe Moddala show ki vellag,2.0
Jabardast modalodast,2.0
Modavaraku vachindi ra puka,2.0
lanja,2.0
Modda guduvu,2.0
Bike trouble eyyakapothe vadi vattala badha telisedhi kadu,2.0
Very level vatakayalu Varma,2.0
Ilanti scrap chusta ani telusuntey chinnappudey vattalu cycle kinda peetti chasthunti,2.0
pichikayalu picsikese touching video broo,2.0
Chi Neeyamma Em Torturer ra,2.0
Nuv kuttha muskoni kurcho ane dialogue,2.0
lanja munda,2.0
munda,2.0
kojja na kodaka,2.0
lanjakodaka,2.0
Jara Aathu Ajay Gadni Kuda Esko Bro,2.0
lamdi kodaka,2.0
Kurchini madatha petti dengithe antha set avvudhi,2.0
arey nuv kuda tayaratav lastu kiah lawda reels chdatam aapu,2.0
na kodaka,2.0
phalthu ga,2.0
faltu ga,2.0
now day and night only one dailogue in minds  Aa kurchi madatha peti dengithe medall iriginay,2.0
Kurichinii madatha petti dengithey Madallu erigipoyinayiii,2.0
follow dengu ra page manchi content undi,2.0
afrree vilanu dengandra plszzz edharu kalsi,2.0
Ithe trending la balayya babu ni pedudham  papa puk panchangame,2.0
Okka thonda okka balli kottukunatunadhii,2.0
vaadiki 90mm kuda sarpovu,2.0
Idi nammina vallu erri pukulu deyal levu bokka ledhu pilla hucks lo idi okati anna motam scrap ey vadi videos anta chudadaniki time bokka,2.0
Vattakayalu chala jagartha bayyya,2.0
Vatakayilu touching video,2.0
Alekya ledhu Alexa ledhu guvva medha thannalisollu gadu,2.0
Alekya endhi ra edho ni pellam ainattu,2.0
Sollu gadu kadhu sulli gadu,2.0
Wah vattalu touching ayya,2.0
Vattakayalu pindeyadam kadu bro Attuluu gokadam concept,2.0
Vattakayalu pendesavu kadha ra,2.0
Kuttha muskoni chudu aa,2.0
Vatta kaayalu pindesaav broo,2.0
Mental mass anna chala Mandi ilane vunnaru erri puvvulu,2.0
Face bagundi Figur bagundi sex cheskumdam antey ye pilla oppukodu kada bayya so love ani cheppali ega Ala cheppthaney set aithadi Pachi abadham antaru deenney kani market lo abadhalakey value undi demand kuda undi,2.0
Face  figure ni chusi love chesnavante ni antha EP gaadundadu In fact physical things ki commit ayyavante nik inka Love age rale ani artham Love is journey if you feel amazed and grateful youll pick them up to your life,2.0
Nii moothi meeda evadu thengadu,2.0
That kid nekandukura erripuka,2.0
Ninu dengevalu unte bavunu bhayya,2.0
Neeku asalu undi aa kojja gadila untav,2.0
Aa lanjakoduku chusaka naku anthe kopam ochindi,2.0
Mee nibba jathini mingaa,2.0
Reyy vaadi lover vaadi istam raa puka madyalo neek em Pani raa poyyi vaani madda sikupoo raa erripuk lanja,2.0
ADI NUVE RA ERIPUKA,2.0
Rey nuvu account delete chey ra eppudu pukuodla feed lo kanpisthu untavu,2.0
nuve ra erri hooka,2.0
Nve raa aa yerri puku frnd lanja vii,2.0
donga lanja,2.0
Kojja na koduku la unnavey,2.0
Thedda thedda thedda gadu vadu,2.0
Mama wasnt being ironic about moddagudu part ,2.0
Mariii ko jana koduku la vunade viduuu,2.0
Kojja na koduku la unnade vedu,2.0
Koja na Koduku la ga unna de veedu,2.0
Bro Modagudu lo respect vundi Moda vatu bagutadi,2.0
Anna pilla Puka APPUDU Baagunnav anna and also eppudu Nice,2.0
Chinapude muthi meeda denagara bro,2.0
That Pakilanja was intentional,2.0
Google maps be likeChii deenamma veelle route adutaru route chupiste wrong ani nannu dengutaru,2.0
Last lo apple be like saripoindhi hero heroine kottukoni namidhaki vesesara,2.0
Lambdi lanja ani enduku antunnav bro,2.0
its true,2.0
pakija is ver nice brohh,2.0
lanja,2.0
kodaka,2.0
lanja koduku,2.0
lanja kodaka,2.0
munda,2.0
lanja,2.0
lanja munda,2.0
puku,2.0
puku munda,2.0
sulli daana,2.0
chillar munda,2.0
pichi guddoda,2.0
erri guddoda,2.0
pichi guddaloda,2.0
erri guddaloda,2.0
modda,2.0
modda gudu,2.0
madda gudu,2.0
guduvu,2.0
gudipey,2.0
madda cheeku,2.0
sulli cheeku,2.0
cheeku,2.0
ni amma,2.0
puku lanja,2.0
sulli ga,2.0
mental munda,2.0
mental munda kodaka,2.0
ni amman denga,2.0
kojja,2.0
kojja na kodaka,2.0
ninja munda,2.0
pichi lanjakodaka,2.0
pichi lanjodaka,2.0
pichi lanja,2.0
badcow,2.0
bhadkhao,2.0
ni abba,2.0
nee abba,2.0
ni notla madda,2.0
ni notla sulli,2.0
ni notla petti kodta,2.0
ni notla puku,2.0
That Pakilanja was intentional,2.0
Last lo apple be like saripoindhi hero heroine kottukoni namidhaki vesesara,2.0
Lambdi lanja ani enduku antunnav bro,2.0
Asalu Google maps ki ammayi voice andhuku pettara babu na moddala voice adhi,2.0
Eri puka,2.0
Paki lanja,2.0
Pooka Ane maata burgundy kaany adi neen ammma pukku aiiunte bagundedi lagagodaka,2.0
Athul,2.0
Nee amma puku raa,2.0
Pukugudu,2.0
Pukesh ani,2.0
Itu rara puka,2.0
Sarigga cheppu yenni sarlu pettadu please,2.0
Hmmadi task ra jaffa,2.0
Dukudu maddagadu,2.0
MBMG,2.0
Bharath Ane nenu erripuk Ane nenu,2.0
Guntur karam gudi na koduku,2.0
Guntur karam gudhalo kaaram,2.0
Bale kammadengutunnaranna meeru,2.0
Pokiripukiri,2.0
Guntur mirapakay guddhalo mirapakay,2.0
Mahesh Babu mabbus ,2.0
Okkadu Pukgadu,2.0
Mahesh Babu moddala babu,2.0
GUNTUR KARAM GUDHALO GOLI,2.0
Kalejani guddalo khaja,2.0
Guntur karam ni guddalo karam,2.0
Maheshpukesh,2.0
Agadu pukkadu,2.0
Guntur karam Gudda ninda rogam,2.0
Guntur karam ni guddalo karam,2.0
Dookudu pukugadu,2.0
DookuduPookodu,2.0
Guntur karam guntur condom,2.0
Aagadu Veedu Dhengaledu,2.0
Pokiri pookiri,2.0
Guntur Kaaram guntatesi pudchaduuu,2.0
Lanja kodakallara,2.0
Gunturu karam guddalo gunapam,2.0
Nii Amma pukuu nii akk pukku,2.0
Ni muthi mindha evaru mingaru,2.0
Athadu aathugadu,2.0
Aagadupukugadu,2.0
Dhookudu Moorkudu,2.0
Athadu aathugaadu,2.0
Dum masala biryani veeni notlo pettandiayya evaraina sulli ni,2.0
Erripuku malla reddy,2.0
Malla Reddy cheddi chinigindhi,2.0
Ne mokumala na moda ra malli gaaaaa,2.0
cheppalsindi Edinaaa vunntyyyy acting denakoodadhuuu neet gaa simple ga cheppali annnniiiiiii danaaaaaalaaaaaakannnnaaaa gopppadi ediiiiii vidyaaaaaaa danaaammmm anntaaa ni pichi pukaaa,2.0
Malla Reddy thatha ki pichal pack aynai,2.0
Malligani gudhala sulli,2.0
Vadi mundale,2.0
Maturity is realising every girl behave likes this but not mental modda,2.0
yadhava,2.0
yadava,2.0
pichi puk nayala,2.0
nee gudha ki siggu ledhu ra,2.0
na lawda lo program,2.0
erri puk jaathi ni denga,2.0
ni puk lo karam,2.0
10gey,2.0
Lanja munda,2.0
munja,2.0
Sanja,2.0
Lanja munja,2.0
Nee puku lo modda petti dengutha lanja daana,2.0
Naa guddala denganna naa guddala dengu,2.0
pichi puku lanja,2.0
pichi hooka,2.0
hook,2.0
hooka,2.0
pukulanja,2.0
Entra meeru elli AA gadi modda cheekandi,2.0
pukas,2.0
pichi pukallara,2.0
pichi pukas,2.0
madda guduvra pichi puka,2.0
sulli edava,2.0
sulledava,2.0
sulli yedava,2.0
manishiva moddava,2.0
manishiva maddava,2.0
gudda valdengutha,2.0
gudda paldengutha,2.0
Naa modda kottu,2.0
nee guddalo mirchi,2.0
badcow,2.0
Low caste munda,2.0
Dalit lanja,2.0
Dalit munda,2.0
Dalit sanja,2.0
Dalit munja,2.0
10gey,2.0
Thengey,2.0
kojja lanjakodka,2.0
pichi puk lanja,2.0
erri gudhal denga,2.0
puk sale,2.0
Dalit sale,2.0
Karri na kodaka,2.0
Anna ki levatledemo,2.0
Gunta bahut pongu meedha hai,2.0
Matherchode fece,2.0
Rendu bengutaruLife is very buetiful borther but single is always buetiful,2.0
Ninu evaru degutharo telidhu kani vadu ki sukam,2.0
Miru eantha white ga unna mi puku matram black hey kada nijam cheppandi ,2.0
Vadu appudu underwear thisthe bavundedhi boys Ani vachedi ,2.0
Drawer kuda eppapoinav,2.0
Alagee vadi sulla giru ,2.0
The lapakis ,2.0
Pink dress adhi bagha peddha adhi Dani boobs chusara ela ugithunnayo and ala direct ga abbai pant lagi di ante satunga enni direct chikindhoo ,2.0
Pilla ranju meeda vundi ,2.0
vaddu last lo erripuku la navuudu bro adey comedy,2.0
Dhani vanga pettu mawa,2.0
Danini akkade leggin vipi dengali,2.0
Kojja la unnare,2.0
Needi vippi unte bagundedi,2.0
Nadhi kani lagavachu gaa ninja,2.0
Aasa padindhiga choopinchavachhuga adhi ankondo leka vanapamo choosi santhoshapadedhi,2.0
Lavada button ,2.0
Kaani dhani expression maatram,2.0
Remaining 8 teams from corner  memu erripukulam,2.0
Picha Dana ,2.0
I replied to my friend after sending this video I say nuvu na modda la unnavra,2.0
Believe me songs are most powerful motivators ,2.0
Dengi vadilesthaduu NagachaitanyaLagaa,2.0
Who cares about this bch,2.0
Telangana mala modda la kurvali a ante car ki veyyi vote ,2.0
Errpuk Revanth kanna kCR Chala Batter,2.0
Modda kudavali trs vostaii,2.0
Car kavala  kcr kavala Telangana mallosthe mg gudala ,2.0
Kcr di moddaguvandi chillaragalaraaa,2.0
Aray jai congress ra puka,2.0
Kcr na lanja mudhula kuduku jagratha,2.0
Sulila BRS cm is Congress our MLA BJP fixx,2.0
Scam chesindi kcr family ra lanjakoduka,2.0
Are thammudu ni guda pagilidi inkokkasari gana revanth Reddy garu gurichi tappu ka peditmanchiga undadu,2.0
lowda kcr,2.0
Mukkodiki Modda pagal dengandi,2.0
vadoka donga KCR vadi koduku peddagana kodukulu modalarani vadidi unnapudu avvadiki m cheyaru alle tion time lo elane kukkalaga thirugutharu andaru,2.0
Vini paydhala puku kcr ni howlay,2.0
Car a ravali andaram andaram Sanka naki povali,2.0
Eavadu gelisina mana pani manam chesukovali ee lucha lanja kodukula gurinchi eandhukura poti padatharu,2.0
Gudhala nuko car nu,2.0
Brs vallaku Mali Mali kcr sulli isthadu,2.0
E song padinodiki kcr modda kaavaali,2.0
A party vachina maddagudusthamu Adhi maku telusu,2.0
Arey lanjakoduka delete chey congress vallu deygutharu,2.0
Ni gudda dengala,2.0
Vangapetti dengala,2.0
Chance iste intikochi dengu povala,2.0
Malla madda kudipovadam thapa em vundadhu,2.0
Mg,2.0
Madda kudustharu kcr ki vote vesthey,2.0
Malli Kcr ravali telangana moga gudupali,2.0
Ts lo car vacchinaa hastam vacchina erripukulayyedi akkada prajale,2.0
Moddala revanth moddala congress,2.0
Modda kudavalante car ki vote veyandi,2.0
Nakodaka ni amma anna is king,2.0
Velli vadi sulli kuduv,2.0
Mali kcr vasthe modakudvali esari ani amadegthadu swachamayna deshani modagudpthadu,2.0
Car osthe Moddakudavali ,2.0
Trs gaani guddha naaku ra adminu,2.0
Moddala car,2.0
Nee akka kaavali KCR ravali nee akka ni dengaali ,2.0
Lanja koduka,2.0
Velli kcr  Gudavandi puka,2.0
A erri puku ra edhi edit chesina pukunakoduku,2.0
Mem mg gudali ,2.0
Comedy kabattti batikipoyav bro lekapothey troll chesi guddha chimpetollu ninnu,2.0
Amma eniii aninna kani Amma Amma nee we cant replace her position she scold me like Munda kodka badcow  still lot words are there after marriage we cant listen that words ndhuke eppude amma chethiloo thanuluu tinnandi thitluu thitinchukondii  Enjoy ,2.0
Spellings chusko VP,2.0
Nuvu school ega dengavv ,2.0
Guddala dam lenodu gudda balupu lenodu,2.0
Hindi vi Telugu lo endhuku dengutav bro direct cheppochu ga niku sontha talent ledhu ani,2.0
Direct ga chepthuna bro Niku gudha lo dhammu ledu,2.0
Ante extrovert laki guddha dhoola unnadi antara bhayya,2.0
Nik Gudhaldam LedhuChepesina bro,2.0
Bye bye ani enduku antaru direct cheppeyochuga dengey ani,2.0
Evtrovert gextrovert ani ndhuk antr vrodirect ga cheppoch ga guddha theeta ani,2.0
Extrovert pichhal endhuk antar bro direct ga theeta hook gani ani cheppochu kadha,2.0
Nii Guddhala Dhammuledhu ani Memu endhuku Chepputam bro,2.0
Filter lu avi enduk bro direct ga pettach ga gudhal dam leda,2.0
Ee extrovert lauda Ani enduk antar bro direct cheppochu gaa teeta pookollam ani,2.0
Direct ga chepthe gudhadengutharu,2.0
Gudha balupu lenodu dhamu lenodu kadhu ayna filter endhuk bro mokam modda leka undhani cheppochu gaa,2.0
ee influencers lowdalaers Ani andhuku ANTARU brooo Direct ga chepochuu kadha content 10gengesthunaaniiii,2.0
Extrovert gextrovert nduku bro direct ga chepochu ga andari goodthe loo velu peti vasana chudatham antee istham aneee by pushkal ra ungamma,2.0
shinchankiddo,2.0
Introvert be like intha Guddha balupenti veeiki Eseynaa veedni intha sweccha icchrenti,2.0
Nee Guddhalo Dhammu leka pothey Introverts em chestharu,2.0
This is the spot your Introvert fan Dhenggings to you,2.0
Enduku mastaru nuv famous avvadaniki vala guddala dum chestunav,2.0
Kanna Erri Pkuna,2.0
Anna nuv Instagram key celebrity,2.0
Mana brathukul dengalii congress ravalii,2.0
Nee gudha bhale untadi She chee Nuvu maarava,2.0
Abba kodukulu modda gudvandi poyi,2.0
Pora lanja kodaka,2.0
Mee ayya great ra thammudu support chesthadu nen evadi nethi paladengina ma ayya na vipu veemanam motha mogisthunde,2.0
Lavadaa ammi kadu,2.0
Rey because lanjodka pillala tho ah matalu entra,2.0
Kodduku kosam guddha dhengihukutava,2.0
V gd tiskelli hostel lo mingandi,2.0
Repodduna a ayya nuvvu kalisi road meda kalisi adukunntaaru ra saale,2.0
ayithe vachi rammi madda kudv,2.0
Ayya pani cheyatle gandu Pani Pani chestunav,2.0
Na modda kudu ra pilla lanjakodka,2.0
Ne bathuku pukula sulli,2.0
Nenu mee ayya nee gudha pagaldengutha lanjakodaka,2.0
Guddamida tannute gadda lekka egurutav,2.0
Erripukullara,2.0
Me ayya sulli anta lev bulliga matalu asthunnai le,2.0
Boron kana scrap la unaru kada ralawda galu,2.0
mi ayyaa,2.0
me ayya ra lovday baji lovday,2.0
mi ayya Delhi nuchi vachinaka cheppu today video,2.0
School egadenginavv nuvvu,2.0
ninnu velli lanjala kompalo padeyali,2.0
Areee Dengandra veni PRE KG LA,2.0
Lanja kodaka ante ento telusu ko nana,2.0
puck u,2.0
vo ra lanjodka,2.0
puck u,2.0
07 nuv oka erripukonvii,2.0
ni pukla modda,2.0
arey lanjodka niku antha gudhaldham unte real id nunchi pettu,2.0
wahhh em cheppinav bidda mee ayya jaripoina budda meda athulu geekanike panikostav pilla pukunakodaka ne ammani aadu dengithe puttinavo leka inkevadengithe puttinavo inthala lestundi appude,2.0
Poranni chedadhenguthurru,2.0
Lunchvodka is an emotion,2.0
Good nanna ni koduku ni LKG LO DENGANDI,2.0
School yega denginavh nuvvh,2.0
Me ayya gudha nakku,2.0
Agu mi ayya ni gudala lo neku rod guchuthadu buthulu matladu inka,2.0
Modda gudu ra pilla puku,2.0
Hey chal dengey pilla na modda,2.0
Arye pilla puka,2.0
Vedu eh lanjaki puttado,2.0
chupp lanjjodkaa,2.0
Chiriparadenge lagane unnadu gaa vaammoo,2.0
Saduvukora pilla pooka,2.0
Avuna ra sale,2.0
Sully mooda,2.0
Mso,2.0
ni ayya ni dengtha lanjodka,2.0
ra ra lanjodka ra ni gudhal dham chustha na peru la ne undhi na adresss dha lanjodka jagath giri gutta bustop ki ochi phn chey chupistha nen endho,2.0
"Bad comment cheyyaniki ochina prathi lanjodkunki chepthunna 
  GODA MIDHA BALLI MI AMMA PUKLA SULLI ",2.0
"BAD COMMENT CHEYYANKI OCHINA PRATHI LANJODKUNKI CHEPTHUNNA 
  GODA MIDHA BALLI MI AMMA PUKLA NA SULLI",2.0
Poradu langodka gingodka antunte medalmedikeli rendu dengaka malla matladtav em ra vadu evenki putindo mare,2.0
Ni Amma puu,2.0
com1 mi naina dhi chikuu,2.0
School ki pooee sachuvoku rah lanjoduka,2.0
babbu lanja kodaka Nana,2.0
Mi amma puku lajakodaka,2.0
Nuv adu 2 ru ochi moda vatirilanjoduka fast chaduko po maklodey niv ayya bee ni baka puku la kate,2.0
Nenu ni ammani djengtha ra lanjodaka mundhu school ki poi sadhukora lanjodaka,2.0
ninnu annana ra lanjodka nuv chiludhvu dha malla,2.0
mi ayya gudhalla nen ma ayya idharram kuchutham,2.0
sala kadhu jija ani vettu ardham indha ahhh,2.0
unnad ra lanjodka,2.0
Nuvvu evara lanja kodaka ana ni ki,2.0
Ahh poradini Moda gudpak Rey,2.0
Ni pukula sullira sale   ,2.0
Teyre amma ki put lyt,2.0
Adhey dialogue nen chepthe maa ayyyaa naa gudha paldenthaduu,2.0
School egadigenav,2.0
Kodukuni kuda agam dengthunam sir nalugu dengalie porani atla matladithe,2.0
arey puka ninnu analee kada ra ni Amma puku makiloude dm chey ra,2.0
Poi lanjala kopamlo padeyaandi,2.0
mental undhi nani,2.0
Aree mii ayya mungata ne matalu matladyunv ante ntha chillar gani vi ra,2.0
School po ra sala first,2.0
Ni anna leda lonjoduka,2.0
sully chiku mee ayyadhi avani ri lanjodka antunnav ra,2.0
chettha puka ne voice lane undi ra puka,2.0
Ooo haa oo ha oo ha puka puka puka,2.0
Oyo ku vastava lange,2.0
Me Anna puku,2.0
Uuuha uuuha gu kha,2.0
Arey lanjakodaka manchi songs ni gabu chayaku ne paka lanjakoda ka,2.0
Aara langodaka naku pane lada ra,2.0
Remix gajjiii,2.0
Dengey ra ra MBBS,2.0
Chada mingadanki putuv ra Moogodu la puta valsedni,2.0
Arii puka,2.0
Yerri pooka,2.0
Lanja na kodaka,2.0
Rey appandi raa Psycho lekka orlutunnaduv,2.0
Ivlu mado performance ge kolbeku anta ogiroru return bartare kano,2.0
Ranu dhengey,2.0
Nee mukham ki teluge ardham kaadu hindi okati picchi fulka,2.0
Puka,2.0
Nuvu madha gudavalaya gudavalya,2.0
Nii puku nu dengutha raa raa,2.0
madagadu,2.0
Sulla girra pukaaa,2.0
Elanjakoduku avadue lanjakoduku avadu,2.0
Nuvvu ni pilla kutha songs,2.0
Ianjodakaa moodagudu,2.0
Thera Choot podna Appudu Sakkaga ithav,2.0
Gay,2.0
guddha meedha thantha lavadey key baal,2.0
mee tammudu video lo tag chesina ani feel ayitunnava puka,2.0
Ra lafut na Koda ka nuvvu ni thi p k songs,2.0
Modda gudura aripuka,2.0
bsdk,2.0
Dawada mida denguta ra nuvu kanipinchagane next minute raasi petuko,2.0
Apara daridruda,2.0
Ninnu uppal Balu gadi tho dengiyali,2.0
Kyaaa chutyaa log haii yaaar,2.0
Nee gudha lekka undhi ra,2.0
naa moddalo gossa nenu verey planet ke dengestha bro,2.0
Nuvvu first insta delate chai rah pukka Lada denguta vochi,2.0
Sache poora pullka,2.0
69 anta bor,2.0
Hu ha na puka na,2.0
suli cheku,2.0
Chaka sala u like at girl,2.0
Mashup Anna word ni chda degyaru kada ra,2.0
lwdey ka mashup,2.0
Super akka,2.0
Lanja monda dengey lucha,2.0
Moda guruvu,2.0
Fuckkkkkkkkkk dangayyyyy,2.0
Chi op raa nanu ranu ra babu,2.0
ni mute mida eavadu dangadu ra lanjakoda,2.0
Miyam puku,2.0
Hengey ra babuu Nv Mars ko ekkadiko,2.0
rah ni gothulana moddda,2.0
Bahenchod kon kon ajate hai Instagram par ab se interview Leni padegi,2.0
Ne amma chatha na kodka modda gudu gudda muskoni school ke dengay school agadengi patal padutunav dengay,2.0
Nenu Mars mingesta Avaraina osta ante like kotandi,2.0
Nmn sule magane shata teriya kelsa ellva,2.0
Otha paithya Kara ku,2.0
Notla sully petkoo ra babuu,2.0
Hogo gandu sula this,2.0
Kojja na koduku la vunnadey veedu,2.0
Aids patient LA unnav broo okasari test cheyinchuko,2.0
The word he pronounced jud i heard chuth at first,2.0
ur daddy,2.0
A ra puka,2.0
Orey chekka,2.0
Arey o lamdi lanjodukaa,2.0
Ninu nenu kutha Bala kodatha,2.0
Emi balaraju emi ra ni vala Dheshaniki adhi ayina pani chesko ra bekuf,2.0
Arey lanjodaka inko sari nuv patalu padaku raa,2.0
Chakka,2.0
Ni akka Bochhuga,2.0
Kooja,2.0
Madda kudu,2.0
Ianga,2.0
Langa,2.0
La La lele Mera,2.0
Ni notlo na madda,2.0
koja maddgadu,2.0
Me Ava puka naku,2.0
Lotta kandum poyi,2.0
overacting chakku,2.0
Aa kuchi ne madaha petti dhengtea nee aa medal,2.0
Notla modda petko,2.0
Doodd Mera antra hooka,2.0
Pooka,2.0
Ni Ammma pukki,2.0
Langidka denge,2.0
Thuu ni bathukuloki naa kama dalai petta,2.0
Neynu ranu mingey,2.0
Naku oka gun kavalayya mundhu e nakoduku ni vesi dengutha,2.0
Madda pdentu vinde ra palla puka,2.0
Ar o lovada,2.0
Ora donga fuka dengai ekkadikainara puka,2.0
Ley evaru ra puka,2.0
Kurchini madthavetti d Med,2.0
Ne yamma pukhu,2.0
Adrespettu ra na sulliga,2.0
Madda gudu lanja da oo sorry nuvvu boy va,2.0
Aaa kurchi ni madathapetandi ra fast ga,2.0
Kojja lanja,2.0
Nvvu ne moddalo voice uuu sampi denguthunnav ra andarni,2.0
NV dha dha ante vachi gudda pagaldenguthaa pukkaaa,2.0
